nominal
 CH3COOOH  C4H9O     C3H7O     CH3ONO2   NO3       CH3COOO   C2H5OO    
 C2H4OOH   HONO2     C2H5OOH   CH3ONO    C3H8CO    CH3NO2    1C4H9     
 2C4H9     C4H10     C3H7OH    CH3OO     C4H8Y     CH3OOH    HNO2      
 CH3OCO    C2H5CHO   C2H6CO    C2H5O     CH3NO     2C2H4OH   NO2       
 2C3H7     1C3H7     1C2H4OH   HONO      C3H8      HCNN      cC2H4O    
 HCNO      C2H5OH    N2O       C2H3CHOZ  OOH       CH2CHO    H2O2      
 CH3CO     NCO       CH3O      O2        CH3CHO    HNO       C         
 CHCO      CO2H      HOCN      C2H5      C2H       CH2OH     CH        
 C2H6      C2H3      CH2CO     NNH       H2CN      CH3OH     N4S       
 N2D       CN        1CH2      HNCO      NO        O3P       O1D       
 C2H4      NH        3CH2      HCO       C2H2      H2CO      NH2       
 CO2       OH        CH3       HCN       NH3       CH4       N2        
 CO        H2O       H         He        H2        N2O4      N2O3      
 N2H2      N2H3      N2H4      HNNO      HNOH      HNO3      NH2OH     
 H2NO      CNN       H2CNO     C2N2      HCNH      HNC       HON       
 NCN       
  
 Vitesses de reaction nominales a zmax
 C2H5       C2H3                                        C2H4       C2H4                                         0.797E-12  0.268E+01   175
 C2H4       C2H4                                        C2H5       C2H3                                         0.147E-16  0.268E+01  1132
 C2H5       C2H3                                        C2H2       C2H6                                         0.797E-12  0.268E+01   176
 C2H2       C2H6                                        C2H5       C2H3                                         0.128E-15  0.268E+01  1133
 C2H5       C2H5                                        C2H4       C2H6                                         0.233E-11  0.268E+01   177
 C2H4       C2H6                                        C2H5       C2H5                                         0.727E-15  0.268E+01  1134
 C2H6       H                                           C2H5       H2                                           0.497E-10  0.268E+01   178
 C2H5       H2                                          C2H6       H                                            0.329E-12  0.268E+01  1135
 C2H6       1CH2                                        CH3        C2H5                                         0.183E-09  0.268E+01   179
 CH3        C2H5                                        C2H6       1CH2                                         0.127E-12  0.268E+01  1136
 C2H6       CH3                                         C2H5       CH4                                          0.982E-11  0.268E+01   180
 C2H5       CH4                                         C2H6       CH3                                          0.157E-11  0.268E+01  1137
 C2H6       C2H                                         C2H2       C2H5                                         0.598E-11  0.268E+01   181
 C2H2       C2H5                                        C2H6       C2H                                          0.436E-14  0.268E+01  1138
 C2H6       C2H3                                        C2H5       C2H4                                         0.119E-10  0.268E+01   182
 C2H5       C2H4                                        C2H6       C2H3                                         0.703E-12  0.268E+01  1139
 O3P        H2                                          OH         H                                            0.200E-10  0.268E+01   183
 OH         H                                           O3P        H2                                           0.134E-10  0.268E+01  1140
 O3P        CH                                          CO         H                                            0.648E-10  0.268E+01   184
 CO         H                                           O3P        CH                                           0.437E-25  0.268E+01  1141
 O3P        CH                                          C          OH                                           0.885E-11  0.268E+01   185
 C          OH                                          O3P        CH                                           0.136E-12  0.268E+01  1142
 O3P        1CH2                                        CO         H          H                                 0.249E-10  0.268E+01   186
 CO         H          H                                O3P        1CH2                                         0.142E-41  0.268E+01  1143
 O3P        1CH2                                        CO         H2                                           0.249E-10  0.268E+01   187
 CO         H2                                          O3P        1CH2                                         0.353E-27  0.268E+01  1144
 O3P        3CH2                                        CO         H          H                                 0.120E-09  0.268E+01   188
 CO         H          H                                O3P        3CH2                                         0.122E-39  0.268E+01  1145
 O3P        3CH2                                        CO         H2                                           0.797E-10  0.268E+01   189
 CO         H2                                          O3P        3CH2                                         0.202E-25  0.268E+01  1146
