# wavelength (nm), cross section(cm^2)
1.168000e+02, 8.200000e-18
1.169000e+02, 8.200000e-18
1.170000e+02, 8.200000e-18
1.171000e+02, 8.200000e-18
1.172000e+02, 8.200000e-18
1.173000e+02, 8.200000e-18
1.174000e+02, 8.200000e-18
1.175000e+02, 8.200000e-18
1.176000e+02, 8.171429e-18
1.177000e+02, 8.135714e-18
1.178000e+02, 8.100000e-18
1.179000e+02, 8.064286e-18
1.180000e+02, 8.028571e-18
1.181000e+02, 8.073684e-18
1.182000e+02, 8.442105e-18
1.183000e+02, 8.810526e-18
1.184000e+02, 9.178947e-18
1.185000e+02, 9.547368e-18
1.186000e+02, 9.915789e-18
1.187000e+02, 1.013509e-17
1.188000e+02, 1.020526e-17
1.189000e+02, 1.027544e-17
1.190000e+02, 1.034561e-17
1.191000e+02, 1.041579e-17
1.192000e+02, 1.048596e-17
1.193000e+02, 1.136957e-17
1.194000e+02, 1.245652e-17
1.195000e+02, 1.354348e-17
1.196000e+02, 1.463043e-17
1.197000e+02, 1.546522e-17
1.198000e+02, 1.529130e-17
1.199000e+02, 1.511739e-17
1.200000e+02, 1.618000e-17
1.201000e+02, 1.738000e-17
1.202000e+02, 1.858000e-17
1.203000e+02, 1.978000e-17
1.204000e+02, 2.098000e-17
1.205000e+02, 2.218000e-17
1.206000e+02, 2.338000e-17
1.207000e+02, 2.321714e-17
1.208000e+02, 2.290286e-17
1.209000e+02, 2.258857e-17
1.210000e+02, 2.290847e-17
1.211000e+02, 2.417966e-17
1.212000e+02, 2.545085e-17
1.213000e+02, 2.672203e-17
1.214000e+02, 2.799322e-17
1.215000e+02, 2.926441e-17
1.216000e+02, 2.933056e-17
1.217000e+02, 2.819167e-17
1.218000e+02, 2.705278e-17
1.219000e+02, 2.591389e-17
1.220000e+02, 2.617500e-17
1.221000e+02, 2.659167e-17
1.222000e+02, 2.700833e-17
1.223000e+02, 2.742500e-17
1.224000e+02, 2.767568e-17
1.225000e+02, 2.643243e-17
1.226000e+02, 2.518919e-17
1.227000e+02, 2.394595e-17
1.228000e+02, 2.325000e-17
1.229000e+02, 2.337500e-17
1.230000e+02, 2.350000e-17
1.231000e+02, 2.225676e-17
1.232000e+02, 2.101351e-17
1.233000e+02, 1.977027e-17
1.234000e+02, 1.852131e-17
1.235000e+02, 1.725902e-17
1.236000e+02, 1.599672e-17
1.237000e+02, 1.473443e-17
1.238000e+02, 1.347213e-17
1.239000e+02, 1.220984e-17
1.240000e+02, 1.112063e-17
1.241000e+02, 1.072381e-17
1.242000e+02, 1.032698e-17
1.243000e+02, 9.930159e-18
1.244000e+02, 9.533333e-18
1.245000e+02, 9.136508e-18
1.246000e+02, 8.739683e-18
1.247000e+02, 8.342857e-18
1.248000e+02, 7.946032e-18
1.249000e+02, 7.549206e-18
1.250000e+02, 7.152381e-18
1.251000e+02, 6.755556e-18
1.252000e+02, 6.358730e-18
1.253000e+02, 6.135714e-18
1.254000e+02, 6.028571e-18
1.255000e+02, 5.921429e-18
1.256000e+02, 5.814286e-18
1.257000e+02, 5.707143e-18
1.258000e+02, 5.600000e-18
1.259000e+02, 5.492857e-18
1.260000e+02, 5.385714e-18
1.261000e+02, 5.278571e-18
1.262000e+02, 5.171429e-18
1.263000e+02, 5.064286e-18
1.264000e+02, 4.957143e-18
1.265000e+02, 4.850000e-18
1.266000e+02, 4.742857e-18
1.267000e+02, 4.720339e-18
1.268000e+02, 4.754237e-18
1.269000e+02, 4.788136e-18
1.270000e+02, 4.822034e-18
1.271000e+02, 4.855932e-18
1.272000e+02, 4.889831e-18
1.273000e+02, 4.923729e-18
1.274000e+02, 4.957627e-18
1.275000e+02, 4.991525e-18
1.276000e+02, 5.025424e-18
1.277000e+02, 5.059322e-18
1.278000e+02, 5.093220e-18
1.279000e+02, 5.194624e-18
1.280000e+02, 5.312903e-18
1.281000e+02, 5.431183e-18
1.282000e+02, 5.549462e-18
1.283000e+02, 5.667742e-18
1.284000e+02, 5.786022e-18
1.285000e+02, 5.904301e-18
1.286000e+02, 6.022581e-18
1.287000e+02, 6.140860e-18
1.288000e+02, 6.214925e-18
1.289000e+02, 6.244776e-18
1.290000e+02, 6.274627e-18
1.291000e+02, 6.304478e-18
1.292000e+02, 6.334328e-18
1.293000e+02, 6.364179e-18
1.294000e+02, 6.394030e-18
1.295000e+02, 6.965854e-18
1.296000e+02, 7.673171e-18
1.297000e+02, 8.380488e-18
1.298000e+02, 9.087805e-18
1.299000e+02, 9.664583e-18
1.300000e+02, 1.018542e-17
1.301000e+02, 1.070625e-17
1.302000e+02, 1.122708e-17
1.303000e+02, 1.174792e-17
1.304000e+02, 1.226875e-17
1.305000e+02, 1.278958e-17
1.306000e+02, 1.331042e-17
1.307000e+02, 1.383125e-17
1.308000e+02, 1.424878e-17
1.309000e+02, 1.373659e-17
1.310000e+02, 1.322439e-17
1.311000e+02, 1.271220e-17
1.312000e+02, 1.220000e-17
1.313000e+02, 1.244286e-17
1.314000e+02, 1.268571e-17
1.315000e+02, 1.292857e-17
1.316000e+02, 1.317143e-17
1.317000e+02, 1.341429e-17
1.318000e+02, 1.365714e-17
1.319000e+02, 1.390000e-17
1.320000e+02, 1.368571e-17
1.321000e+02, 1.347143e-17
1.322000e+02, 1.325714e-17
1.323000e+02, 1.304286e-17
1.324000e+02, 1.282857e-17
1.325000e+02, 1.261429e-17
1.326000e+02, 1.240000e-17
1.327000e+02, 1.280351e-17
1.328000e+02, 1.320702e-17
1.329000e+02, 1.361053e-17
1.330000e+02, 1.401404e-17
1.331000e+02, 1.441754e-17
1.332000e+02, 1.467209e-17
1.333000e+02, 1.457907e-17
1.334000e+02, 1.448605e-17
1.335000e+02, 1.439302e-17
1.336000e+02, 1.430000e-17
1.337000e+02, 1.473182e-17
1.338000e+02, 1.516364e-17
1.339000e+02, 1.559545e-17
1.340000e+02, 1.602727e-17
1.341000e+02, 1.601667e-17
1.342000e+02, 1.571111e-17
