(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
9.018E+05  1460.0  1.91E+08  1.55E-05  4.48E-04  3.56E-04  7.85E-08  8.38E-01  1.62E-01  2.79E-10  6.34E-05  8.85E-06  1.07E-06
8.161E+05  1452.0  1.94E+08  1.54E-05  4.48E-04  3.56E-04  7.95E-08  8.38E-01  1.62E-01  2.80E-10  6.35E-05  8.84E-06  1.08E-06
7.384E+05  1443.0  1.96E+08  1.54E-05  4.49E-04  3.56E-04  8.08E-08  8.38E-01  1.62E-01  2.76E-10  6.34E-05  8.83E-06  1.09E-06
6.676E+05  1433.0  1.98E+08  1.53E-05  4.49E-04  3.56E-04  8.23E-08  8.38E-01  1.62E-01  2.65E-10  6.35E-05  8.82E-06  1.09E-06
6.038E+05  1423.0  2.01E+08  1.53E-05  4.49E-04  3.56E-04  8.38E-08  8.38E-01  1.62E-01  2.55E-10  6.35E-05  8.82E-06  1.10E-06
5.463E+05  1413.0  2.03E+08  1.53E-05  4.49E-04  3.55E-04  8.54E-08  8.38E-01  1.62E-01  2.44E-10  6.34E-05  8.81E-06  1.10E-06
4.941E+05  1402.0  2.06E+08  1.52E-05  4.48E-04  3.55E-04  8.72E-08  8.38E-01  1.62E-01  2.27E-10  6.35E-05  8.81E-06  1.11E-06
4.470E+05  1391.0  2.08E+08  1.52E-05  4.49E-04  3.55E-04  8.90E-08  8.38E-01  1.62E-01  2.10E-10  6.34E-05  8.80E-06  1.11E-06
4.044E+05  1380.0  2.10E+08  1.52E-05  4.49E-04  3.55E-04  9.10E-08  8.37E-01  1.62E-01  1.94E-10  6.34E-05  8.80E-06  1.12E-06
3.656E+05  1368.0  2.12E+08  1.52E-05  4.49E-04  3.55E-04  9.32E-08  8.38E-01  1.62E-01  1.74E-10  6.34E-05  8.79E-06  1.12E-06
3.308E+05  1357.0  2.15E+08  1.52E-05  4.49E-04  3.55E-04  9.53E-08  8.37E-01  1.62E-01  1.60E-10  6.35E-05  8.79E-06  1.13E-06
2.991E+05  1345.0  2.17E+08  1.52E-05  4.49E-04  3.55E-04  9.77E-08  8.38E-01  1.62E-01  1.42E-10  6.34E-05  8.78E-06  1.13E-06
2.705E+05  1333.0  2.19E+08  1.52E-05  4.49E-04  3.55E-04  1.00E-07  8.37E-01  1.62E-01  1.25E-10  6.35E-05  8.78E-06  1.14E-06
2.447E+05  1321.0  2.21E+08  1.52E-05  4.49E-04  3.55E-04  1.03E-07  8.38E-01  1.62E-01  1.10E-10  6.35E-05  8.77E-06  1.15E-06
2.213E+05  1309.0  2.23E+08  1.52E-05  4.49E-04  3.55E-04  1.06E-07  8.38E-01  1.62E-01  9.56E-11  6.35E-05  8.76E-06  1.15E-06
2.001E+05  1297.0  2.26E+08  1.52E-05  4.49E-04  3.55E-04  1.08E-07  8.38E-01  1.62E-01  8.29E-11  6.35E-05  8.75E-06  1.16E-06
1.811E+05  1285.0  2.28E+08  1.52E-05  4.49E-04  3.55E-04  1.12E-07  8.38E-01  1.62E-01  7.14E-11  6.35E-05  8.75E-06  1.17E-06
1.638E+05  1273.0  2.30E+08  1.52E-05  4.49E-04  3.55E-04  1.15E-07  8.38E-01  1.62E-01  6.12E-11  6.35E-05  8.74E-06  1.17E-06
1.482E+05  1261.0  2.32E+08  1.52E-05  4.49E-04  3.55E-04  1.18E-07  8.38E-01  1.62E-01  5.22E-11  6.35E-05  8.73E-06  1.18E-06
1.340E+05  1249.0  2.34E+08  1.51E-05  4.49E-04  3.55E-04  1.22E-07  8.38E-01  1.62E-01  4.43E-11  6.35E-05  8.72E-06  1.19E-06
