(dyn/cm2)      (K)     (cm)
Pressure     Temp    Hight       CH4        CO       H2O       CO2        H2        He      C2H2        N2       NH3       HCN
1.167E+00   862.0  4.25E+08  6.41E-10  4.39E-04  3.39E-04  7.44E-07  7.83E-01  1.57E-01  6.55E-08  6.10E-05  2.21E-12  1.01E-05
9.847E-01   863.6  4.27E+08  3.96E-10  4.37E-04  3.37E-04  7.82E-07  7.75E-01  1.57E-01  6.36E-08  6.08E-05  1.89E-12  9.59E-06
8.307E-01   865.1  4.30E+08  2.55E-10  4.35E-04  3.34E-04  8.15E-07  7.66E-01  1.56E-01  6.16E-08  6.07E-05  1.64E-12  9.00E-06
7.009E-01   867.3  4.32E+08  1.70E-10  4.33E-04  3.31E-04  8.40E-07  7.57E-01  1.55E-01  5.95E-08  6.05E-05  1.43E-12  8.34E-06
5.913E-01   869.7  4.35E+08  1.17E-10  4.30E-04  3.28E-04  8.59E-07  7.47E-01  1.54E-01  5.74E-08  6.03E-05  1.25E-12  7.62E-06
4.989E-01   872.9  4.37E+08  8.24E-11  4.28E-04  3.25E-04  8.70E-07  7.37E-01  1.53E-01  5.53E-08  6.01E-05  1.10E-12  6.86E-06
4.209E-01   876.7  4.40E+08  5.99E-11  4.25E-04  3.22E-04  8.74E-07  7.27E-01  1.52E-01  5.32E-08  5.98E-05  9.69E-13  6.07E-06
3.551E-01   881.0  4.42E+08  4.48E-11  4.22E-04  3.19E-04  8.70E-07  7.16E-01  1.51E-01  5.13E-08  5.96E-05  8.53E-13  5.28E-06
2.996E-01   887.0  4.45E+08  3.49E-11  4.19E-04  3.15E-04  8.60E-07  7.04E-01  1.50E-01  4.95E-08  5.92E-05  7.60E-13  4.52E-06
2.527E-01   893.0  4.48E+08  2.80E-11  4.16E-04  3.11E-04  8.43E-07  6.93E-01  1.49E-01  4.80E-08  5.88E-05  6.76E-13  3.80E-06
2.132E-01   902.4  4.50E+08  2.39E-11  4.12E-04  3.07E-04  8.18E-07  6.81E-01  1.48E-01  4.68E-08  5.83E-05  6.26E-13  3.15E-06
1.799E-01   912.0  4.53E+08  2.12E-11  4.08E-04  3.03E-04  7.86E-07  6.68E-01  1.47E-01  4.60E-08  5.78E-05  5.87E-13  2.59E-06
1.518E-01   925.8  4.56E+08  2.04E-11  4.02E-04  2.99E-04  7.47E-07  6.54E-01  1.46E-01  4.58E-08  5.71E-05  5.88E-13  2.13E-06
1.281E-01   942.1  4.59E+08  2.09E-11  3.97E-04  2.94E-04  7.00E-07  6.40E-01  1.45E-01  4.64E-08  5.62E-05  6.24E-13  1.78E-06
1.080E-01   961.5  4.62E+08  2.31E-11  3.90E-04  2.89E-04  6.45E-07  6.25E-01  1.43E-01  4.79E-08  5.51E-05  7.09E-13  1.54E-06
9.114E-02   989.7  4.65E+08  2.82E-11  3.81E-04  2.84E-04  5.80E-07  6.09E-01  1.42E-01  5.07E-08  5.38E-05  9.32E-13  1.42E-06
7.690E-02  1017.9  4.68E+08  3.56E-11  3.71E-04  2.79E-04  5.08E-07  5.91E-01  1.40E-01  5.54E-08  5.21E-05  1.25E-12  1.40E-06
6.488E-02  1067.1  4.71E+08  5.28E-11  3.59E-04  2.73E-04  4.23E-07  5.71E-01  1.38E-01  6.27E-08  5.01E-05  2.22E-12  1.53E-06
5.473E-02  1122.8  4.75E+08  7.94E-11  3.44E-04  2.67E-04  3.33E-07  5.48E-01  1.36E-01  7.37E-08  4.74E-05  4.10E-12  1.79E-06
