# WL(nm)	 Flux(ergs/cm**2/s/nm)
116.7064    	3.89E+05
116.7088    	3.28E+05
116.71      	5.61E+05
116.7112    	6.79E+03
116.7136    	3.98E+05
116.7172    	1.58E+05
116.7184    	3.61E+04
116.722     	2.93E+05
116.7232    	1.91E+05
116.7244    	2.18E+05
116.7256    	9.03E+04
116.728     	1.27E+05
116.7292    	3.12E+05
116.7304    	2.52E+05
116.7316    	4.09E+05
116.7328    	3.11E+05
116.7352    	4.64E+04
116.7364    	3.27E+05
116.7376    	4.10E+05
116.7388    	1.39E+05
116.7424    	2.86E+04
116.7448    	2.12E+03
116.746     	4.15E+05
116.7472    	2.08E+05
116.7484    	1.28E+05
116.7496    	2.48E+05
116.7508    	1.19E+05
116.752     	3.17E+05
116.7532    	2.18E+05
116.7568    	2.34E+05
116.758     	3.57E+04
116.7592    	3.99E+05
116.7604    	3.34E+05
116.7616    	3.89E+05
116.7628    	1.43E+05
116.764     	2.06E+05
116.7664    	1.75E+04
116.7676    	9.46E+04
116.7688    	3.93E+05
116.77      	3.37E+05
116.7712    	2.47E+05
116.7724    	1.29E+05
116.7736    	1.94E+05
116.7748    	2.94E+05
116.776     	2.40E+05
116.7772    	5.41E+04
116.7796    	1.71E+05
116.7808    	1.57E+05
116.7832    	6.94E+04
116.7844    	1.46E+05
116.7928    	1.88E+05
116.794     	2.01E+05
116.7952    	1.66E+05
116.7976    	3.29E+04
116.7988    	1.09E+05
116.8012    	4.16E+04
116.8024    	3.99E+05
116.8048    	4.74E+04
116.8084    	1.53E+05
116.8096    	1.90E+05
116.8108    	2.19E+05
116.8132    	1.07E+05
116.8168    	1.35E+05
116.818     	2.11E+05
116.8192    	1.92E+05
116.8204    	2.33E+05
116.8216    	5.31E+04
116.824     	1.48E+04
116.8252    	3.08E+05
116.8264    	4.18E+05
116.8276    	2.64E+05
116.8312    	3.67E+04
116.8348    	8.90E+04
116.836     	3.97E+05
116.8372    	3.96E+05
116.8384    	2.46E+05
116.8396    	4.57E+05
116.8408    	2.69E+05
116.8444    	2.62E+05
116.8456    	2.76E+05
116.8468    	3.14E+05
116.848     	2.68E+04
116.8492    	1.93E+05
116.8504    	8.31E+03
116.8528    	1.09E+05
116.854     	8.20E+04
116.8564    	1.16E+05
116.8576    	3.59E+05
116.8588    	1.24E+05
116.86      	1.91E+04
116.8612    	3.85E+04
116.8624    	5.20E+04
116.8636    	1.73E+05
116.8648    	5.12E+04
116.866     	1.53E+05
116.8672    	2.51E+05
116.8684    	2.97E+05
116.8696    	2.00E+05
116.8744    	7.22E+03
116.8828    	3.69E+05
116.884     	3.32E+05
116.8852    	2.01E+05
116.8864    	1.69E+05
116.8876    	1.93E+05
116.8888    	3.00E+05
116.8996    	1.50E+05
116.9008    	1.90E+05
116.902     	2.84E+04
116.9104    	1.07E+04
116.9116    	7.59E+04
116.9128    	7.02E+03
116.914     	2.63E+05
116.9152    	3.54E+05
116.9164    	1.15E+05
116.9176    	6.27E+03
116.9224    	2.21E+05
116.9236    	3.32E+05
116.9248    	1.88E+05
116.9272    	3.90E+04
116.9308    	4.02E+04
116.932     	2.44E+05
116.9332    	3.71E+05
116.9344    	4.05E+05
116.9356    	2.67E+05
116.9368    	5.53E+05
116.938     	5.34E+05
116.9392    	2.08E+05
116.9404    	1.68E+05
116.944     	2.40E+04
116.9464    	1.09E+05
116.9476    	1.47E+05
116.9488    	7.92E+04
116.9512    	9.26E+04
116.9548    	4.80E+04
116.956     	1.56E+05
116.9668    	5.62E+03
116.968     	1.02E+05
116.9692    	1.34E+05
116.9704    	1.31E+05
116.9728    	8.24E+04
116.974     	2.63E+03
116.9764    	1.43E+05
116.9776    	2.71E+05
116.9788    	1.44E+04
116.98      	9.90E+04
116.9836    	1.35E+05
116.986     	1.81E+05
116.9872    	2.51E+05
116.9908    	2.94E+05
116.992     	3.01E+04
116.9944    	1.97E+05
116.9956    	2.68E+05
116.998     	1.52E+04
116.9992    	6.74E+04
117.0004    	2.27E+05
117.0016    	3.48E+05
117.0028    	1.22E+05
117.004     	8.16E+04
117.0052    	1.30E+05
117.0064    	1.73E+02
117.0076    	8.43E+04
117.0088    	1.84E+05
117.01      	1.82E+05
117.0112    	3.34E+05
117.0124    	1.54E+05
117.0136    	1.58E+04
117.0148    	2.09E+05
117.016     	2.79E+05
117.0172    	8.04E+04
117.0208    	6.77E+04
117.022     	5.60E+04
117.0232    	6.08E+04
117.0244    	2.30E+05
117.0256    	2.40E+05
117.0268    	1.54E+05
117.0304    	1.49E+05
117.0316    	1.02E+05
117.0328    	4.08E+05
117.034     	5.09E+05
117.0364    	5.84E+04
117.0376    	5.66E+04
117.0388    	7.12E+04
117.04      	3.35E+04
117.0412    	2.85E+04
117.0424    	4.57E+04
117.0436    	7.03E+04
117.0448    	8.37E+04
117.046     	2.05E+05
117.0472    	1.77E+05
117.0496    	8.52E+04
117.0508    	6.09E+03
117.052     	5.61E+04
117.0568    	6.26E+04
117.0604    	8.49E+04
117.064     	5.69E+04
117.0676    	2.64E+05
117.0688    	3.17E+05
117.07      	6.90E+04
117.0712    	2.01E+04
117.0724    	8.21E+04
117.0736    	7.64E+04
117.0748    	3.63E+04
117.076     	3.73E+05
117.0772    	2.99E+05
117.0784    	3.50E+05
117.0796    	4.51E+05
117.0832    	3.13E+05
117.0844    	1.20E+05
117.0856    	1.41E+05
117.0892    	2.56E+05
117.0904    	3.11E+05
117.0916    	1.70E+05
117.0952    	1.01E+05
117.0964    	9.58E+04
117.0976    	1.55E+05
117.0988    	9.07E+04
117.1       	5.68E+04
117.1012    	1.38E+05
117.1024    	2.08E+05
117.106     	1.04E+05
117.1072    	5.61E+05
117.1096    	1.15E+05
117.1108    	1.44E+05
117.112     	1.12E+05
117.1132    	5.28E+04
117.1144    	6.83E+04
117.1156    	1.47E+05
117.1204    	3.27E+04
117.1228    	7.65E+04
117.124     	2.35E+05
117.1252    	3.99E+04
117.1276    	7.78E+04
117.1312    	7.91E+04
117.1324    	1.95E+05
117.1336    	6.14E+04
117.1348    	1.92E+05
117.136     	2.15E+05
117.1372    	1.13E+05
117.1384    	3.93E+04
117.142     	1.08E+05
117.1432    	1.34E+05
117.1444    	7.23E+04
117.1468    	7.21E+04
117.1492    	4.66E+02
117.1504    	1.65E+05
117.1516    	1.73E+05
117.1528    	1.98E+04
117.1552    	6.62E+04
117.1588    	2.85E+05
117.16      	1.27E+05
117.1672    	1.13E+05
117.1684    	3.94E+05
117.1696    	2.77E+05
117.1708    	7.37E+04
